paso,decision,accion,registros_afectados,fundamento
1,Selección de variables relevantes,Se seleccionaron 16 variables originales de las 213 disponibles.,0,"Reducir el dataset a variables vinculadas con los objetivos, manteniendo identificadores para trazabilidad."
2,Normalización de valores vacíos,Se eliminaron espacios de campos de texto y los campos vacíos se representaron como NaN.,3801,Pandas debe reconocer los faltantes de forma explícita para cuantificarlos y tratarlos correctamente.
3,Conversión de factor de expansión,FACTOR (versión oficial Factor Revisión 2025) se convirtió a valor numérico y se renombró como factor_expansion.,57744,El factor debe ser numérico para realizar estimaciones ponderadas cuando corresponda. La fuente oficial vigente del INE publica la EPHC Anual 2024 con Factor Revisión 2025.
4,Conversión de ingreso per cápita mensual,ipcm se convirtió de texto con coma decimal a valor numérico; 130 valores vacíos permanecen como NaN.,57744,Se requiere una representación cuantitativa para análisis estadístico; no se imputa en esta fase para evitar introducir supuestos sin justificación.
5,Tratamiento de años de estudio,añoest se convirtió a numérico; 16 códigos 99 (No Disponible) se recodificaron como NaN. Los 3541 vacíos se conservaron como NaN.,3557,El código 99 no representa una cantidad de años y no debe participar en cálculos numéricos.
6,Creación de variable tiene_seguro,Se creó una variable binaria: 1 para códigos 1–6 y 8 de S01A; 0 para código 7.,57744,La pregunta de investigación compara personas con cobertura médica frente a personas sin cobertura.
7,Tratamiento de accidentados,Se excluyeron 631 registros con S03=2 del dataset analítico principal.,631,El estudio compara enfermedad reciente frente a condición sana; accidente representa una condición distinta.
8,Tratamiento de código no válido en S03,Se excluyeron 4 registros con S03=9.,4,"El cuestionario oficial define únicamente 1=Enfermo/a, 2=Accidentado/a y 3=Sano/a."
9,Creación de variable enfermedad_reciente,Se creó una variable binaria: 1=Enfermo/a y 0=Sano/a.,57109,"Variable objetivo principal para las fases descriptiva, inferencial y predictiva."
10,Conservación de faltantes socioeconómicos,"No se imputaron anios_estudio, ingreso_per_capita_mensual ni quintil_ingreso.",0,"La imputación podría introducir sesgo; se decidirá posteriormente según el análisis y, para modelado, deberá ajustarse dentro del pipeline de entrenamiento."
